Both Price And Arrival from 01-Jan-2018 To 31-Dec-2023 Total Arrival- 2049.00,,,,,,,,,
State Name,District Name,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date
Madhya Pradesh,Khandwa,Khandwa,Alsandikai,Vegetables,"1,279.00",1800,2492,2230,19-May-23
Madhya Pradesh,Khandwa,Khandwa,Alsandikai,Vegetables,293,3518,3756,3700,02-Feb-19
Madhya Pradesh,Khandwa,Khandwa,Alsandikai,Vegetables,477,1100,1150,1125,24-Jan-18
